Countries and areas,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Gender
Afghanistan,0,0,0,0,44,69,67,40,49,26,32,14,1
Albania,6,3,6,1,21,15,94,96,98,97,76,80,1
Antigua and Barbuda,4,1,1,2,14,12,0,0,0,0,0,0,1
Argentina,0,0,0,0,15,7,91,94,70,79,46,53,1
Armenia,9,9,11,9,16,4,99,99,95,99,69,79,1
Australia,0,0,2,3,10,6,0,0,0,0,0,0,1
Austria,0,0,1,0,10,9,0,0,0,0,0,0,1
Azerbaijan,10,7,0,0,0,0,0,0,0,0,0,0,1
The Bahamas,0,0,23,21,29,24,0,0,0,0,0,0,1
Bahrain,2,3,7,0,18,6,0,0,0,0,0,0,1
Bangladesh,0,0,0,0,41,36,76,89,59,71,32,27,1
Barbados,1,2,7,3,7,3,99,99,98,98,91,96,1
Belarus,1,2,1,1,6,4,100,100,100,100,91,94,1
Belgium,1,0,1,1,1,2,0,0,0,0,0,0,1
Belize,1,1,9,11,38,35,95,96,55,66,48,51,1
Benin,3,10,27,43,46,66,51,44,25,13,12,5,1
Bhutan,5,2,18,6,33,22,67,71,41,38,25,18,1
Bolivia,5,5,13,14,22,22,0,0,0,0,0,0,1
Bosnia and Herzegovina,0,0,0,0,22,19,99,100,97,97,92,92,1
Botswana,12,10,0,0,0,0,95,98,92,92,55,66,1
Brazil,1,1,2,3,16,14,95,97,81,89,65,75,1
British Virgin Islands,4,3,8,7,24,16,0,0,0,0,0,0,1
Brunei,0,0,0,0,19,16,0,0,0,0,0,0,1
Bulgaria,13,13,12,13,10,14,0,0,0,0,0,0,1
Burkina Faso,15,22,31,44,67,65,32,29,13,6,6,2,1
Burundi,9,6,31,31,67,62,46,54,26,19,4,3,1
Cape Verde,6,7,14,13,29,24,0,0,0,0,0,0,1
Cambodia,9,9,12,14,0,0,68,79,41,39,20,20,1
Cameroon,4,13,31,40,50,58,75,74,52,43,26,21,1
Canada,0,0,0,0,6,6,0,0,0,0,0,0,1
Chad,15,35,31,70,71,74,31,24,18,10,15,6,1
Chile,1,2,5,6,5,5,96,97,94,97,83,88,1
Colombia,3,2,6,5,22,20,91,95,74,81,69,78,1
Comoros,15,18,20,18,52,48,75,77,47,45,24,32,1
Republic of the Congo,15,16,0,0,0,0,78,82,56,45,28,19,1
Cook Islands,2,2,4,6,30,27,0,0,0,0,0,0,1
Costa Rica,3,3,3,1,7,5,98,99,70,76,56,60,1
Ivory Coast,2,8,31,48,52,64,60,53,36,22,17,15,1
Croatia,0,0,3,1,16,11,0,0,0,0,0,0,1
Cuba,1,1,10,10,20,15,100,98,95,98,85,86,1
Cyprus,0,1,2,2,6,8,0,0,0,0,0,0,1
Czech Republic,1,0,1,2,3,3,0,0,0,0,0,0,1
Denmark,1,0,0,1,11,9,0,0,0,0,0,0,1
Djibouti,15,35,31,48,66,67,0,0,0,0,0,0,1
Dominica,4,3,3,1,19,17,0,0,0,0,0,0,1
Dominican Republic,4,4,6,6,23,21,88,94,76,89,48,66,1
Ecuador,0,0,6,3,20,18,98,98,89,92,78,79,1
Egypt,0,0,3,2,23,24,91,92,79,81,43,41,1
El Salvador,14,13,17,17,33,35,84,89,73,74,34,36,1
Equatorial Guinea,15,55,0,0,0,0,0,0,0,0,0,0,1
Eritrea,15,50,31,40,45,53,0,0,0,0,0,0,1
Estonia,2,2,2,0,1,2,0,0,0,0,0,0,1
Eswatini,15,17,3,3,14,18,64,77,47,54,31,33,1
Ethiopia,11,18,31,49,73,74,47,48,19,22,11,14,1
Fiji,1,1,0,0,0,0,0,0,0,0,0,0,1
Finland,1,1,1,0,3,5,0,0,0,0,0,0,1
France,0,0,1,1,5,4,0,0,0,0,0,0,1
The Gambia,15,10,0,0,0,0,64,60,50,48,33,28,1
Georgia,2,2,1,2,7,4,100,100,98,98,79,83,1
Germany,1,0,6,4,12,16,0,0,0,0,0,0,1
Ghana,1,0,13,8,28,28,69,73,45,50,12,9,1
Greece,2,1,3,5,4,6,0,0,0,0,0,0,1
Grenada,0,0,0,0,8,7,0,0,0,0,0,0,1
Guatemala,11,10,30,35,57,61,80,76,52,45,27,25,1
Guinea,15,29,31,60,59,74,52,39,33,20,22,13,1
Honduras,11,14,31,31,58,54,81,87,46,52,29,35,1
Hungary,4,5,3,3,12,12,0,0,0,0,0,0,1
Iceland,0,1,1,0,15,11,0,0,0,0,0,0,1
India,3,1,18,12,47,48,92,91,82,79,46,40,1
Indonesia,3,8,19,14,23,22,91,92,64,59,40,37,1
Iran,0,0,3,6,25,27,0,0,0,0,0,0,1
Republic of Ireland,0,0,0,0,2,1,0,0,0,0,0,0,1
Italy,3,3,2,2,6,5,0,0,0,0,0,0,1
Jamaica,0,0,19,17,25,22,99,100,97,97,80,83,1
Jordan,15,19,29,30,48,43,96,97,86,88,49,63,1
Kazakhstan,10,9,0,0,0,0,100,100,100,100,95,96,1
Kuwait,4,1,9,4,20,17,0,0,0,0,0,0,1
Kyrgyzstan,0,0,2,3,30,26,99,100,99,99,89,85,1
Laos,8,9,27,28,42,46,84,83,54,53,32,31,1
Latvia,2,1,1,1,5,4,0,0,0,0,0,0,1
Lesotho,3,2,21,13,38,29,69,92,33,55,27,37,1
Liberia,15,21,17,26,20,31,36,33,29,23,18,9,1
Liechtenstein,3,2,1,7,10,22,0,0,0,0,0,0,1
Lithuania,0,0,0,0,4,2,0,0,0,0,0,0,1
Luxembourg,1,1,4,5,22,17,0,0,0,0,0,0,1
Madagascar,0,0,31,29,63,64,52,60,26,27,16,15,1
Malawi,0,0,19,18,62,74,43,52,23,21,15,13,1
Malaysia,0,0,15,12,41,32,0,0,0,0,0,0,1
Maldives,3,1,0,0,0,0,0,0,0,0,0,0,1
Mali,15,44,31,56,71,74,50,41,36,25,23,12,1
Malta,0,0,2,1,10,7,0,0,0,0,0,0,1
Marshall Islands,15,27,31,29,45,41,0,0,0,0,0,0,1
Mauritania,15,21,31,25,63,59,68,58,53,40,31,23,1
Mauritius,3,1,6,4,25,17,0,0,0,0,0,0,1
Mexico,0,0,9,7,28,24,98,98,87,90,56,60,1
Federated States of Micronesia,9,11,15,10,0,0,0,0,0,0,0,0,1
Mongolia,2,3,8,7,22,20,96,98,87,93,60,73,1
Montenegro,3,3,8,7,12,10,95,98,93,97,83,90,1
Montserrat,15,15,0,0,0,0,0,0,0,0,0,0,1
Morocco,2,3,8,11,26,30,0,0,0,0,0,0,1
Mozambique,1,4,31,47,65,73,44,39,15,11,8,5,1
Myanmar,0,0,22,20,47,38,82,84,45,45,14,19,1
Nauru,0,0,13,4,52,60,0,0,0,0,0,0,1
Nepal,0,0,4,1,26,13,81,83,71,75,27,28,1
Netherlands,1,1,3,2,1,1,0,0,0,0,0,0,1
New Zealand,1,1,1,1,4,1,0,0,0,0,0,0,1
Niger,15,45,31,69,81,74,35,24,10,4,4,1,1
North Macedonia,1,1,0,0,0,0,97,100,93,95,86,79,1
Norway,0,0,0,1,8,7,0,0,0,0,0,0,1
Oman,0,0,0,0,8,17,0,0,0,0,0,0,1
Panama,13,14,13,12,35,31,95,96,75,81,57,68,1
Papua New Guinea,4,10,10,19,40,51,0,0,0,0,0,0,1
Paraguay,0,0,0,0,33,30,93,96,81,79,60,67,1
Peru,0,0,3,3,15,21,95,95,83,83,78,72,1
Philippines,3,3,14,7,24,17,89,95,75,88,74,83,1
Poland,2,2,1,3,4,4,0,0,0,0,0,0,1
Portugal,0,1,0,0,2,4,0,0,0,0,0,0,1
Qatar,3,0,1,9,0,0,0,0,0,0,0,0,1
South Korea,1,1,3,3,4,4,0,0,0,0,0,0,1
Moldova,9,11,15,16,36,35,99,99,95,98,63,71,1
Romania,12,13,9,9,21,19,0,0,0,0,0,0,1
Russia,1,0,2,1,3,3,0,0,0,0,0,0,1
Rwanda,6,6,6,2,50,49,48,61,25,30,19,16,1
Saint Kitts and Nevis,0,0,0,0,4,5,0,0,0,0,0,0,1
Saint Lucia,3,0,9,10,20,21,99,99,85,98,70,90,1
Saint Vincent and the Grenadines,0,0,1,2,16,14,0,0,0,0,0,0,1
Samoa,0,0,0,0,15,5,0,0,0,0,0,0,1
San Marino,0,0,0,0,51,57,0,0,0,0,0,0,1
Sao Tome and Principe,6,6,12,7,19,16,79,86,32,36,4,8,1
Saudi Arabia,1,3,0,3,3,9,0,0,0,0,0,0,1
Senegal,15,21,0,0,0,0,44,50,27,30,11,10,1
Serbia,2,2,2,2,14,11,99,100,99,99,71,81,1
Seychelles,0,0,0,0,24,12,0,0,0,0,0,0,1
Sierra Leone,2,2,31,49,64,67,63,65,47,42,27,18,1
Singapore,0,0,0,1,0,0,0,0,0,0,0,0,0
Slovakia,5,4,5,5,11,11,0,0,0,0,0,0,1
Slovenia,1,0,2,1,2,1,0,0,0,0,0,0,1
Solomon Islands,9,4,0,0,0,0,0,0,0,0,0,0,1
South Africa,12,10,16,13,22,20,95,98,85,91,45,52,1
South Sudan,15,67,31,63,57,72,31,18,22,10,12,4,1
Spain,3,3,1,1,2,1,0,0,0,0,0,0,1
Sri Lanka,2,3,0,0,18,13,99,99,94,96,32,43,1
Palestinian National Authority,3,3,4,1,32,18,99,100,80,93,52,73,1
Sudan,15,35,31,35,53,50,66,64,49,52,33,28,1
Suriname,14,11,19,11,42,34,80,90,41,58,18,26,1
Sweden,0,0,0,0,1,3,0,0,0,0,0,0,1
Switzerland,0,0,1,1,16,20,0,0,0,0,0,0,1
Syria,15,28,31,39,66,66,0,0,0,0,0,0,1
Tajikistan,1,2,0,0,0,0,99,98,95,93,80,63,1
Thailand,0,0,0,0,21,21,98,99,81,92,59,72,1
East Timor,7,3,12,9,27,22,77,85,63,70,49,55,1
Togo,2,4,15,28,47,66,83,76,55,39,31,12,1
Tokelau,0,0,0,0,53,30,0,0,0,0,0,0,1
Tonga,0,0,6,4,43,33,98,99,65,76,45,56,1
Turkey,5,5,6,7,17,17,99,98,96,92,51,44,1
Turks and Caicos Islands,0,0,22,17,29,35,0,0,0,0,0,0,1
Tuvalu,13,17,27,32,61,39,0,0,0,0,0,0,1
Uganda,6,3,0,0,0,0,39,43,27,23,18,15,1
Ukraine,9,7,4,3,7,4,100,99,100,100,97,96,1
United Arab Emirates,8,5,2,3,2,2,0,0,0,0,0,0,1
United Kingdom,1,1,2,2,5,4,0,0,0,0,0,0,1
Tanzania,15,12,0,0,81,74,75,84,31,27,32,27,1
United States,1,1,3,1,4,3,0,0,0,0,0,0,1
Uruguay,3,3,1,0,15,9,96,98,66,73,48,29,1
Uzbekistan,0,2,0,2,14,15,0,0,0,0,0,0,1
Vanuatu,8,7,2,4,41,46,0,0,0,0,0,0,1
Venezuela,10,10,15,13,28,19,0,0,0,0,0,0,1
Yemen,10,21,23,34,46,68,70,55,55,39,37,23,1
Zambia,15,13,0,0,0,0,71,73,54,50,33,27,1
Zimbabwe,0,0,0,0,45,50,86,92,45,53,17,14,1
